,rank,actor,actor_score
954,955, Cillian Murphy,5
955,956, Billy Crudup,5
956,957, Christopher Mintz-Plasse,5
957,958, Anthony Mackie,5
958,959, Timothy Olyphant,5
959,960, Josh Gad,4
960,961, Luke Wilson,4
961,962, Peter Sarsgaard,4
962,963, Rhys Ifans,4
963,964, Topher Grace,4
964,965, Kevin Hart,4
965,966, Paul Dano,4
966,967, Lenny Kravitz,4
967,968, Bill Hader,4
968,969, Rob Lowe,4
969,970, David Spade,3
970,971, Rob Riggle,3
971,972, Lance Henriksen,3
972,973, Richard Jenkins,3
973,974, Mike Vogel,3
974,975, Michael Ealy,3
975,976, Freddie Prinze Jr.,3
976,977, Jamie Bell,3
977,978, Danny McBride,3
978,979, Jonathan Rhys Meyers,3
979,980, Michael Cera,2
980,981, Bill Paxton,2
981,982, Chris Klein,2
982,983, Ioan Gruffudd,2
983,984, Andrew Lincoln,2
984,985, Bill Pullman,2
985,986, Craig Robinson,2
986,987, Charlie Day,2
987,988, Andy Samberg,2
988,989, Garrett Hedlund,2
989,990, Cam Gigandet,1
990,991, John Krasinski,1
991,992, Kevin James,1
992,993, Breckin Meyer,1
993,994, Christopher Reeve,1
994,995, James McAvoy,1
995,996, Rufus Sewell,1
996,997, Ned Beatty,1
997,998, John Cleese,1
998,999, John Turturro,1
999,1000, Jerry Lewis,0
