,rank,actor,actor_score
221,222, Forest Whitaker,78
222,223, Jared Leto,78
223,224, Jonah Hill,78
224,225, Michael Fassbender,78
225,226, Carol Burnett,78
226,227, Jessica Tandy,78
227,228, Helen Hunt,78
228,229, Patricia Arquette,78
229,230, Carmen Miranda,77
230,231, Kate Hudson,77
231,232, Catherine Zeta-Jones,77
232,233, Cameron Diaz,77
233,234, Debbie Reynolds,77
234,235, Rita Hayworth,77
235,236, Maureen O'Hara,77
236,237, Myrna Loy,77
237,238, Lena Headey,77
238,239, Toni Collette,77
239,240, Laura Linney,76
240,241, Marlene Dietrich,76
241,242, Carole Lombard,76
242,243, Jean Arthur,76
243,244, Jean Harlow,76
244,245, Ginger Rogers,76
245,246, Mary Pickford,76
246,247, Mae West,76
247,248, Gillian Anderson,76
248,249, Emma Watson,76
249,250, Meg Ryan,75
250,251, Alan Arkin,75
251,252, Benedict Cumberbatch,75
252,253, Chris Hemsworth,75
253,254, Henry Cavill,75
254,255, Tom Hardy,75
255,256, Jean Dujardin,75
256,257, Colin Firth,75
257,258, Jamie Foxx,75
258,259, Adrien Brody,75
259,260, Roberto Benigni,74
260,261, Jeremy Irons,74
261,262, William Hurt,74
262,263, F. Murray Abraham,74
263,264, Richard Dreyfuss,74
264,265, Peter Finch,74
265,266, Art Carney,74
266,267, Cliff Robertson,74
267,268, Rod Steiger,74
268,269, Chris Pratt,74
269,270, Lee Marvin,73
270,271, Rex Harrison,73
271,272, Maximilian Schell,73
272,273, David Niven,73
273,274, Yul Brynner,73
274,275, Ernest Borgnine,73
275,276, Chloë Grace Moretz,73
276,277, Anna Kendrick,73
277,278, Emily Watson,73
278,279, Helena Bonham Carter,73
279,280, Keira Knightley,72
280,281, Alexis Thorpe,72
281,282, Marion Davies,72
282,283, Scarlett Johansson,72
283,284, Dakota Fanning,72
284,285, Jennifer Aniston,72
285,286, Jennifer Connelly,72
286,287, Rachel McAdams,72
287,288, Carey Mulligan,72
288,289, Mila Kunis,72
289,290, Amanda Seyfried,71
290,291, Jennifer Lopez,71
291,292, Neve Campbell,71
292,293, Fairuza Balk,71
293,294, Jessica Alba,71
294,295, Kristen Stewart,71
295,296, Julie Walters,71
296,297, Rooney Mara,71
297,298, Jamie Lee Curtis,71
298,299, Emma Stone,71
299,300, Kirsten Dunst,70
300,301, José Ferrer,70
301,302, Broderick Crawford,70
302,303, Ronald Colman,70
303,304, Fredric March,70
304,305, Ray Milland,70
305,306, Bing Crosby,70
306,307, Paul Lukas,70
307,308, Robert Donat,70
308,309, Paul Muni,70
309,310, Victor McLaglen,69
310,311, Charles Laughton,69
311,312, Wallace Beery,69
312,313, Kurt Russell,69
313,314, Lionel Barrymore,69
314,315, Jeff Goldblum,69
315,316, Warner Baxter,69
316,317, Emil Jannings,69
317,318, Chris Cooper,69
318,319, Jim Broadbent,69
319,320, James Coburn,68
320,321, Cuba Gooding Jr.,68
321,322, Martin Landau,68
322,323, Jack Palance,68
323,324, Kevin Kline,68
324,325, Don Ameche,68
325,326, Kate Beckinsale,68
326,327, Zooey Deschanel,68
327,328, Michelle Williams,68
328,329, Milla Jovovich,68
329,330, Selena Gomez,67
330,331, Rachel Weisz,67
331,332, Kristen Bell,67
332,333, Katherine Heigl,67
333,334, Liv Tyler,67
334,335, Jessica Chastain,67
335,336, Megan Fox,67
336,337, Betty White,67
337,338, Geraldine Page,67
338,339, Eliza Dushku,67
339,340, Robin Wright,66
340,341, Leighton Meester,66
341,342, Viola Davis,66
342,343, Shirley Temple,66
343,344, Julia Louis-Dreyfus,66
344,345, Olivia Thirlby,66
345,346, Cher,66
346,347, Penélope Cruz,66
347,348, Louise Fletcher,66
348,349, Julie Christie,66
349,350, Patricia Neal,65
350,351, Haing S. Ngor,65
351,352, Louis Gossett Jr.,65
352,353, John Gielgud,65
353,354, Timothy Hutton,65
354,355, Melvyn Douglas,65
355,356, Jason Robards,65
356,357, George Burns,65
357,358, John Houseman,65
358,359, Ethan Hawke,65
359,360, Ben Johnson,64
360,361, John Mills,64
361,362, Gig Young,64
362,363, Jack Albertson,64
363,364, George Kennedy,64
364,365, Walter Matthau,64
365,366, Martin Balsam,64
366,367, Peter Ustinov,64
367,368, Ed Begley,64
368,369, George Chakiris,64
369,370, Hugh Griffith,63
370,371, Burl Ives,63
371,372, Red Buttons,63
372,373, Anthony Quinn,63
373,374, Edmond O'Brien,63
374,375, Frank Sinatra,63
375,376, Anne Bancroft,63
376,377, Kim Novak,63
377,378, Simone Signoret,63
378,379, Ellen Page,63
379,380, Angela Lansbury,62
380,381, Judy Holliday,62
381,382, Loretta Young,62
382,383, Shirley Jones,62
383,384, Vera Farmiga,62
384,385, Helen Hayes,62
385,386, Marie Dressler,62
386,387, Janet Gaynor,62
387,388, Lupita Nyong'o,62
388,389, Octavia Spencer,62
389,390, Melissa Leo,61
390,391, Mo'Nique,61
391,392, Marlee Matlin,61
392,393, Tilda Swinton,61
393,394, Jennifer Hudson,61
394,395, Renée Zellweger,61
395,396, Marcia Gay Harden,61
396,397, Anna Paquin,61
397,398, Marisa Tomei,61
398,399, Mercedes Ruehl,61
399,400, Brenda Fricker,60
400,401, Jean Reno,60
401,402, George Sanders,60
402,403, Dean Jagger,60
403,404, Walter Huston,60
404,405, Edmund Gwenn,60
405,406, Harold Russell,60
